asset_id,asset_age,defect_severity,defect_frequency,previous_failures,traffic_density,maintenance_delay,inspection_score,environmental_factor,risk_score
AST-003,15,54,7,0,95.4,29,60.8,1.5,99.0
AST-004,9,91,0,0,90.4,12,61.4,1.36,70.72
AST-005,22,30,0,1,106.4,21,86.1,0.82,42.64
AST-006,3,40,10,2,62.6,30,73.5,1.22,99.0
AST-007,22,67,5,2,70.0,2,73.9,1.17,99.0
AST-008,13,50,10,2,52.5,3,41.5,0.93,99.0
AST-009,17,59,8,0,53.6,8,81.5,0.95,99.0
AST-010,20,46,7,1,41.0,27,44.4,0.92,99.0
AST-011,23,66,1,2,90.1,22,43.8,1.18,99.0
AST-012,10,30,10,1,101.4,16,53.2,1.49,99.0
AST-013,5,40,7,0,62.5,18,61.8,1.36,99.0
AST-014,18,26,9,0,35.9,12,99.0,1.3,99.0
AST-015,17,62,6,4,36.6,10,77.9,1.11,99.0
AST-016,22,76,5,1,109.0,24,72.5,1.21,99.0
AST-017,25,26,6,4,112.0,1,89.1,1.16,99.0
AST-018,10,31,2,2,114.1,7,60.4,1.46,99.0
AST-019,10,20,4,1,87.2,17,56.2,1.24,89.28
AST-020,20,78,1,4,87.7,18,95.6,0.91,98.28
AST-021,22,89,9,2,105.8,18,42.4,1.4,99.0
AST-022,3,15,10,4,53.8,6,85.3,1.09,99.0
AST-023,21,13,7,4,56.1,30,57.8,0.97,99.0
AST-024,22,61,4,3,36.6,1,49.3,1.09,99.0
AST-025,15,36,5,4,42.9,27,82.4,1.31,99.0
AST-026,12,61,2,2,76.3,3,58.8,1.13,96.05
AST-027,9,67,3,1,38.7,9,95.8,1.4,98.0
AST-028,14,41,2,2,114.0,23,58.5,1.33,99.0
AST-029,16,75,7,3,109.1,15,41.4,1.46,99.0
AST-030,17,68,3,1,82.5,1,43.0,1.15,99.0
AST-031,21,96,7,2,78.3,27,46.3,0.89,99.0
AST-032,9,56,6,2,34.1,1,73.6,0.94,99.0
AST-033,18,46,1,3,75.4,24,72.4,1.38,99.0
AST-034,20,97,9,0,41.6,3,63.2,1.36,99.0
AST-035,11,81,5,1,47.9,16,63.7,0.83,83.0
AST-036,2,27,5,3,76.7,4,75.8,1.16,99.0
AST-037,11,88,5,1,65.4,19,83.6,1.01,98.98
AST-038,11,74,8,4,74.1,18,57.7,1.37,99.0
AST-039,12,52,10,0,118.2,18,58.2,1.43,99.0
AST-040,23,90,0,4,72.7,30,78.7,1.48,99.0
AST-041,19,83,3,0,82.5,5,70.9,1.3,99.0
AST-042,25,58,2,1,32.8,30,81.3,0.93,76.26
AST-043,15,50,6,1,67.2,6,64.2,1.34,99.0
AST-044,16,17,2,4,48.7,10,98.9,1.13,99.0
AST-045,13,50,2,3,112.1,10,72.2,1.27,99.0
AST-046,24,97,10,2,84.9,6,96.5,1.0,99.0
AST-047,10,38,4,2,93.4,22,81.6,1.02,85.68
AST-048,12,81,4,2,41.0,21,72.0,1.43,99.0
AST-049,13,54,2,2,33.8,30,82.1,1.04,81.12
AST-050,15,93,4,3,49.3,26,71.8,1.45,99.0
AST-001,23,44,2,0,85.4,18,54.1,0.84,57.96
AST-002,17,38,10,1,34.7,13,59.5,1.13,99.0
AST-003,22,27,0,4,118.0,5,64.0,1.45,99.0
AST-004,16,71,10,1,98.0,9,58.9,1.25,99.0
AST-005,25,21,10,4,50.9,23,82.7,1.46,99.0
AST-006,6,63,2,0,119.7,12,86.5,0.93,44.64
AST-007,24,47,0,0,56.9,19,46.3,1.49,87.91
AST-008,10,68,10,4,77.2,28,95.4,1.4,99.0
AST-009,15,44,3,0,59.8,23,67.1,0.98,62.72
AST-010,6,11,5,2,81.1,24,51.4,1.23,99.0
AST-011,21,61,6,4,59.5,12,79.5,0.93,99.0
AST-012,5,71,5,1,30.6,12,53.9,1.33,99.0
AST-013,11,48,9,4,31.0,20,61.2,0.97,99.0
AST-014,22,25,7,2,44.4,21,69.6,1.43,99.0
AST-015,23,49,1,2,63.1,7,52.9,0.89,78.32000000000001
AST-016,5,68,9,2,67.4,17,93.9,1.33,99.0
AST-017,22,37,3,4,108.6,2,71.0,1.17,99.0
AST-018,12,19,9,0,35.6,17,93.3,0.94,84.6
AST-019,18,29,2,2,106.9,14,46.9,0.94,78.96
AST-020,19,72,1,4,70.1,1,66.8,1.16,99.0
AST-021,15,82,0,4,71.6,25,58.2,0.82,86.1
AST-022,9,10,3,4,36.6,13,60.3,0.84,79.8
AST-023,2,18,7,0,55.8,5,85.4,1.34,87.10000000000001
AST-024,24,92,6,2,119.4,12,66.5,1.44,99.0
AST-025,13,58,1,4,42.0,27,60.5,0.92,92.92
AST-026,18,60,8,1,95.5,7,89.3,1.33,99.0
AST-027,10,69,10,4,68.2,12,88.6,0.97,99.0
AST-028,12,29,4,1,114.4,23,85.2,0.82,57.4
AST-029,22,63,9,0,51.7,2,46.0,0.82,99.0
AST-030,20,96,0,1,96.6,12,65.9,1.18,92.03999999999999
AST-031,25,17,2,4,119.4,7,88.1,1.31,99.0
AST-032,11,83,9,2,51.3,28,48.5,1.26,99.0
AST-033,8,62,4,2,35.5,30,74.9,1.31,99.0
AST-034,6,90,10,3,80.0,1,97.4,1.46,99.0
AST-035,22,58,8,2,92.7,13,48.8,1.06,99.0
AST-036,25,78,7,1,106.4,9,90.6,0.9,99.0
AST-037,15,17,8,3,117.1,17,71.3,1.07,99.0
AST-038,9,36,5,0,113.0,27,61.9,1.17,81.89999999999999
AST-039,7,16,4,3,90.6,19,42.3,0.85,79.89999999999999
AST-040,25,85,10,4,49.5,6,91.3,1.03,99.0
AST-041,1,37,3,0,97.2,24,68.3,0.97,43.65
AST-042,20,100,3,3,112.4,17,59.0,1.0,99.0
AST-043,15,78,10,2,57.8,11,70.3,1.15,99.0
AST-044,4,70,5,1,63.4,13,42.7,1.4,99.0
AST-045,24,28,0,2,79.8,18,74.2,1.09,75.21000000000001
AST-046,5,35,5,1,64.2,26,54.5,1.19,94.00999999999999
AST-047,22,53,4,3,117.0,20,83.6,1.12,99.0
AST-048,24,55,2,1,94.8,15,50.9,1.42,99.0
AST-049,21,17,8,0,105.5,2,95.8,1.27,99.0
AST-050,25,10,6,1,105.8,7,44.0,0.91,94.64
AST-001,7,74,7,2,35.4,20,79.3,1.23,99.0
AST-002,16,94,7,0,30.6,17,64.3,0.81,92.34
AST-003,24,45,8,2,31.5,26,81.2,1.1,99.0
AST-004,6,23,1,4,43.4,6,76.6,0.98,75.46
AST-005,12,44,6,0,63.6,12,67.1,0.97,80.50999999999999
AST-006,23,38,4,0,88.8,27,78.3,0.82,62.31999999999999
AST-007,13,58,6,4,72.8,20,40.6,0.92,99.0
AST-008,16,65,10,2,80.9,27,97.5,1.43,99.0
AST-009,2,39,3,4,72.8,1,94.5,1.28,99.0
AST-010,9,79,9,0,46.1,27,58.6,1.47,99.0
AST-011,19,28,6,0,56.9,18,54.2,1.38,99.0
AST-012,13,96,8,2,64.5,23,48.3,1.49,99.0
AST-013,24,20,8,2,34.8,13,53.7,0.85,99.0
AST-014,20,88,9,3,117.2,10,41.7,0.99,99.0
AST-015,15,72,3,2,79.8,12,65.5,1.28,99.0
AST-016,22,58,1,4,56.6,7,82.1,0.86,92.02
AST-017,5,58,10,1,96.6,10,61.3,0.86,99.0
AST-018,10,66,5,2,39.2,2,51.1,1.11,99.0
AST-019,18,75,6,0,32.4,11,72.7,1.22,99.0
AST-020,11,59,0,2,67.2,24,45.0,1.43,99.0
AST-021,8,83,8,1,91.7,5,48.2,1.01,99.0
AST-022,16,28,1,1,69.1,13,57.7,1.35,79.65
AST-023,12,42,3,3,83.4,6,67.0,0.89,85.44
AST-024,1,60,5,4,64.2,27,59.4,1.03,99.0
AST-025,21,86,2,2,58.9,30,81.0,1.14,99.0
AST-026,6,60,5,2,96.1,20,69.0,1.2,99.0
AST-027,8,51,6,2,103.5,12,61.5,1.45,99.0
AST-028,7,85,8,1,91.4,17,41.6,1.31,99.0
AST-029,23,36,7,2,104.8,2,88.3,1.36,99.0
AST-030,14,96,7,1,87.0,7,54.9,0.91,99.0
AST-031,14,58,1,3,119.2,15,74.4,1.17,99.0
AST-032,23,63,8,0,101.2,11,81.4,1.37,99.0
AST-033,20,91,1,0,99.2,21,79.2,0.92,63.480000000000004
AST-034,20,15,9,3,117.0,10,97.0,1.1,99.0
AST-035,1,22,4,1,76.0,16,72.9,1.28,74.24
AST-036,8,67,5,3,71.7,21,74.7,1.15,99.0
AST-037,12,13,7,0,56.6,29,96.7,0.88,63.36
AST-038,24,28,5,2,60.9,25,52.2,1.14,99.0
AST-039,16,22,7,3,58.7,9,42.6,1.3,99.0
AST-040,1,53,10,0,90.9,5,94.9,1.32,99.0
AST-041,17,32,8,1,59.8,13,96.5,0.96,99.0
AST-042,13,90,2,1,87.6,13,63.3,1.32,99.0
AST-043,7,67,9,3,65.0,22,52.7,0.99,99.0
AST-044,23,18,9,0,102.0,17,51.0,1.03,99.0
AST-045,15,24,4,3,77.5,20,58.5,1.07,99.0
AST-046,13,85,1,2,61.7,14,76.4,1.37,99.0
AST-047,23,48,9,4,37.6,4,58.5,0.97,99.0
AST-048,4,33,5,1,76.0,13,75.2,1.2,86.39999999999999
AST-049,14,33,7,4,92.4,20,94.9,0.92,99.0
AST-050,6,72,4,1,46.8,26,66.6,0.84,69.72
AST-001,12,11,7,1,47.6,12,96.9,1.15,96.6
AST-002,16,62,10,3,67.4,26,66.2,0.92,99.0
AST-003,19,13,3,2,32.9,7,71.7,0.92,74.52000000000001
AST-004,15,82,7,4,76.0,18,46.7,1.34,99.0
AST-005,12,79,0,3,79.2,13,46.0,1.38,99.0
AST-006,25,41,4,0,70.5,11,90.9,0.86,66.22
AST-007,4,40,3,4,92.0,27,81.9,1.24,99.0
AST-008,6,88,2,1,103.2,25,43.5,1.05,82.95
AST-009,9,86,8,1,59.1,22,57.3,1.2,99.0
AST-010,17,96,1,1,116.6,25,64.3,0.84,68.88
AST-011,9,93,2,1,52.5,22,59.0,0.97,78.57
AST-012,22,60,7,1,82.0,8,77.0,1.06,99.0
AST-013,3,91,1,3,76.4,8,81.0,1.41,99.0
AST-014,15,72,5,4,30.2,24,90.0,0.87,99.0
AST-015,15,91,10,2,106.5,25,71.5,0.95,99.0
AST-016,14,37,7,2,59.1,9,59.9,1.2,99.0
AST-017,19,72,5,0,34.1,20,86.2,1.12,99.0
AST-018,4,30,7,3,30.1,30,65.2,1.5,99.0
AST-019,5,93,4,1,108.7,28,56.2,1.26,99.0
AST-020,9,20,5,1,34.7,20,58.0,1.29,99.0
AST-021,8,64,10,0,93.3,0,52.6,0.85,99.0
AST-022,19,38,8,3,30.8,22,60.3,0.88,99.0
AST-023,14,98,2,3,36.4,12,45.3,1.36,99.0
AST-024,4,50,5,2,42.3,24,88.0,1.41,99.0
AST-025,21,96,2,0,77.7,0,76.0,0.91,72.8
AST-026,12,37,10,1,112.8,19,80.5,1.4,99.0
AST-027,3,22,2,0,83.1,12,60.7,1.1,39.6
AST-028,5,41,4,0,52.3,19,75.4,1.23,68.88
AST-029,25,98,0,2,48.5,19,70.1,1.32,99.0
AST-030,10,92,0,1,74.5,3,54.2,1.25,85.0
AST-031,3,77,0,2,114.1,4,62.8,1.39,88.96
AST-032,14,56,8,1,98.6,30,98.3,0.85,92.64999999999999
AST-033,19,18,0,2,49.4,29,43.6,1.35,90.45
AST-034,17,46,10,4,99.0,13,81.4,0.86,99.0
AST-035,18,78,9,1,55.0,9,44.7,1.44,99.0
AST-036,5,78,5,3,82.8,24,89.2,1.28,99.0
AST-037,3,49,6,1,35.2,2,94.6,0.88,69.52
AST-038,20,87,0,2,89.9,21,83.7,0.88,73.04
AST-039,23,27,0,1,74.7,11,70.9,1.35,75.60000000000001
AST-040,24,43,2,2,41.4,24,91.5,1.31,99.0
AST-041,4,13,5,3,54.5,2,55.5,1.48,99.0
AST-042,21,19,7,3,76.0,1,69.5,1.2,99.0
AST-043,12,30,4,0,110.5,21,82.6,0.96,56.64
AST-044,17,10,0,0,52.0,15,61.5,1.44,48.96
AST-045,6,14,8,3,50.2,7,64.6,1.3,99.0
AST-046,9,19,9,2,40.7,21,93.2,0.93,99.0
AST-047,17,15,6,0,108.9,27,56.7,1.39,99.0
AST-048,11,21,8,3,30.7,6,57.2,1.35,99.0
AST-049,24,89,3,3,63.1,15,98.9,1.34,99.0
AST-050,24,79,3,1,30.6,13,41.4,1.18,99.0
